year,word,tf,idf,tfidf
2018,in hongkong,0.00042922362550889013,3.044522437723423,0.001306780958662812
2018,greater bay area,0.00041621684897831773,3.044522437723423,0.0012671815356730296
2018,greater bay,0.00041621684897831773,3.044522437723423,0.0012671815356730296
2017,bay area,0.0004496470270837393,2.3513752571634776,0.0010572888939418207
2018,bay area,0.00044223040203946254,2.3513752571634776,0.0010398496253210493
2018,the greater bay,0.00033817618979488313,3.044522437723423,0.0010295849977343366
2017,belt and road,0.0005095999640282378,1.9459101490553132,0.0009916357419607704
2017,belt and,0.0005095999640282378,1.6582280766035324,0.0008450329681877741
2017,the belt and,0.00041967055861149,1.9459101490553132,0.000816641199261811
2017,the belt,0.00041967055861149,1.9459101490553132,0.000816641199261811
