year,word,tf,idf,tfidf
2016,belt,0.002920971493481906,1.0986122886681098,0.0032090151775884634
2016,agefriendly,0.00048682858224698437,3.044522437723423,0.0014821605419760267
2013,healthcare,0.002148667314677444,0.6466271649250525,0.0013893866540570013
2014,ccf,0.0008495145631067961,1.4350845252893227,0.0012191252035224829
2017,belt,0.0010192152042926947,1.0986122886681098,0.0011197223482333324
2017,legco,0.00065949219101292,1.6582280766035324,0.001093588467438404
2015,maritime,0.0011305486135903843,0.965080896043587,0.0010910708690246432
2013,pland,0.00046042871028802374,2.3513752571634776,0.00108264067705895
2016,wifi,0.000432736517552875,2.3513752571634776,0.001017525940244919
2013,cop,0.000511587455875582,1.9459101490553132,0.0009955032225176822
2014,cop,0.0004854368932038835,1.9459101490553132,0.0009446165772113171
2016,startups,0.0006491047763293125,1.4350845252893227,0.0009315202198015835
2015,units,0.0016065690824705462,0.5596157879354227,0.0008990614229594438
2017,smart,0.0005395845199196619,1.6582280766035324,0.0008947542006314213
2014,minority,0.0006067961165048543,1.4350845252893227,0.0008708037168017734
2016,healthcare,0.001298209552658625,0.6466271649250525,0.0008394575625142673
2016,manual,0.0002704603234705469,3.044522437723423,0.0008234225233200149
2014,units,0.0014563106796116505,0.5596157879354227,0.0008149744484496447
2015,healthcare,0.0012495537308104248,0.6466271649250525,0.0008079953863754671
2016,smart,0.00048682858224698437,1.6582280766035324,0.0008072728235750415
