year,word,tf,idf,tfidf
2012,mhpp,0.0006983646627480649,2.3513752571634776,0.0016421173884631165
2011,autistic,0.0004899216125419933,3.044522437723423,0.0014915773421097398
2010,swine,0.0004784307471493501,3.044522437723423,0.001456593144592978
2009,oaa,0.0008139345596614033,1.6582280766035324,0.0013496891393484718
2009,sfc,0.00040696727983070163,3.044522437723423,0.0012390210148638381
2010,tree,0.0003986922892911251,3.044522437723423,0.0012138276204941483
2011,football,0.0004899216125419933,2.3513752571634776,0.0011519895576808752
2009,wpm,0.0004883607357968419,2.3513752571634776,0.0011483193507228443
2011,healthcare,0.0017497200447928333,0.6466271649250525,0.0011314165119769256
2010,w,0.0004784307471493501,2.3513752571634776,0.0011249702211132179
